"Device";"Date";"Time";"AlarmName"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"IN_PWR_LOW"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"IN_PWR_LOW"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"817-XNB";"2015-11-25";"12:00:00";"CHAN_LOS"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"838-SGS";"2015-11-25";"12:00:00";"IN_PWR_LOW"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"827-ML";"2015-11-25";"12:00:00";"CHAN_LOS"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"IN_PWR_LOW"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"838-SGS";"2015-11-25";"12:00:00";"IN_PWR_LOW"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"IN_PWR_LOW"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"IN_PWR_LOW"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"9-805-MZ";"2015-11-25";"12:00:00";"IN_PWR_LOW"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"838-SGS";"2015-11-25";"12:00:00";"IN_PWR_LOW"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"9-805-MZ";"2015-11-25";"12:00:00";"IN_PWR_LOW"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"824-SZB";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"838-SGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"858-XNGS";"2015-11-25";"12:00:00";"BEFFEC_EXC"
"871-CD";"2015-11-25";"12:00:00";"FAN_FAIL"
